Lens,FStopSteps
XF16-80mmF4 R OIS WR,"4,4.5,5,5.6,6.3,7.1,8,9,10,11,13,14,16,18,20,22"
XF18-55mmF2.8-4 R LM OIS,"2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11,13,14,16"
XF23mmF2 R WR,"2,2.2,2.5,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11"
XF35mmF2 R WR,"2,2.2,2.5,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11"
XF50mmF2 R WR,"2,2.2,2.5,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11"
XF56mmF1.2 R,"1.2,1.4,1.6,1.8,2,2.2,2.5,2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1"
XF10-24mmF4 R OIS,"4,4.5,5,5.6,6.3,7.1,8,9,10,11,13,14,16,18,20,22"
XF55-200mmF3.5-4.8 R LM OIS,"3.5,4,4.5,4.8,5,5.6,6.3,7.1,8,9,10,11,13,14,16"
XF80mmF2.8 R LM OIS WR Macro,"2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11,13,14,16"
XF27mmF2.8 R WR,"2.8,3.2,3.5,4,4.5,5,5.6,6.3,7.1,8,9,10,11,13,14,16"